"clusters","players","players_per_cluster","total_calls","total_oks","total_errs","err_rate_pct","lat_avg_ms","pass"
"1","100","100","0","0","0","100","0","False"
"1","100","100","0","0","0","100","0","False"
"1","100","100","0","0","0","100","0","False"
"1","100","100","0","0","0","100","0","False"
"1","100","100","30002","30002","0","0","0.01","True"
"1","200","200","59673","59673","0","0","0.01","True"
"1","300","300","89165","89165","0","0","0.01","True"
"1","400","400","118526","118526","0","0","0.02","True"
"1","500","500","115726","115683","43","0.04","0.02","True"
"1","600","600","36889","36424","465","1.26","0.02","False"
"2","100","50","28500","28500","0","0","0.02","True"
"2","200","100","60000","60000","0","0","0.02","True"
"2","300","150","89737","89737","0","0","0.02","True"
"2","400","200","115201","115201","0","0","0.02","True"
"2","500","250","108167","108047","120","0.11","0.02","True"
"2","600","300","156532","156516","16","0.01","0.02","True"
"2","700","350","133236","133014","222","0.17","0.02","True"
"2","800","400","126167","125779","388","0.31","0.02","True"
"2","900","450","121070","120676","394","0.33","0.02","True"
"2","1000","500","107060","106611","449","0.42","0.02","True"
"2","1100","550","104927","104252","675","0.64","0.02","True"
"2","1200","600","61568","60626","942","1.53","0.02","False"
"4","100","25","30000","30000","0","0","0.03","True"
"4","200","50","58218","58218","0","0","0.03","True"
"4","300","75","69238","69238","0","0","0.03","True"
"4","400","100","79438","79438","0","0","0.03","True"
"4","500","125","89468","89468","0","0","0.03","True"
"4","600","150","81619","81535","84","0.1","0.03","True"
"4","700","175","80397","80211","186","0.23","0.03","True"
"4","800","200","73728","73444","284","0.39","0.03","True"
"4","900","225","71800","71416","384","0.53","0.03","True"
"4","1000","250","69538","69068","470","0.68","0.03","True"
"4","1100","275","65087","64503","584","0.9","0.03","True"
"4","1200","300","64034","63346","688","1.07","0.04","False"
"3","100","33","30001","30001","0","0","0.01","True"
"3","200","67","60020","60020","0","0","0.01","True"
"3","300","100","90000","90000","0","0","0.01","True"
"3","400","133","120000","120000","0","0","0.01","True"
"3","500","167","149691","149691","0","0","0.02","True"
"3","600","200","179535","179535","0","0","0.02","True"
"3","700","233","196652","196650","2","0","0.02","True"
"3","800","267","137119","136821","298","0.22","0.02","True"
"3","900","300","198302","198236","66","0.03","0.02","True"
"3","1000","333","88414","87798","616","0.7","0.02","True"
"3","1100","367","148817","148295","522","0.35","0.02","True"
"3","1200","400","78660","77848","812","1.03","0.03","False"
"4","100","25","29966","29966","0","0","0.02","True"
"4","200","50","59753","59753","0","0","0.03","True"
"4","300","75","79208","79208","0","0","0.03","True"
"4","400","100","72389","72389","0","0","0.03","True"
"4","500","125","74717","74717","0","0","0.03","True"
"4","600","150","66610","66525","85","0.13","0.03","True"
"4","700","175","60448","60262","186","0.31","0.04","True"
"4","800","200","54754","54471","283","0.52","0.04","True"
"4","900","225","52246","51863","383","0.73","0.04","True"
"4","1000","250","50309","49821","488","0.97","0.04","True"
"4","1100","275","50067","49481","586","1.17","0.04","False"
